distance_bin,P_t_dB,MCS,numerology,protocol_type,num_lanes,success,PIR,cumulative_PRR,cumulative_PIR
250.0,23,11,1,0,2,0.6584318245954723,0.1518760124655852,0.8549393877083248,0.1188934966997685
260.0,23,11,1,0,2,0.6446634531740915,0.1551196977393955,0.8471513901329829,0.1202352078493843
270.0,23,11,1,0,2,0.6263070443604456,0.1596660949297084,0.839264092069678,0.1216434538165387
280.0,23,11,1,0,2,0.6085121750917708,0.1643352493069162,0.8313071294152674,0.1231155846955173
290.0,23,11,1,0,2,0.5953172145857574,0.1679776723231219,0.8234407989209505,0.1246109876164374
300.0,23,11,1,0,2,0.5794113221644002,0.1725889643068216,0.8155688803159005,0.1261586642838692
310.0,23,11,1,0,2,0.559975231318171,0.1785793270973823,0.8075815787847214,0.1277968099967915
320.0,23,11,1,0,2,0.5456025252825111,0.1832836091589208,0.7996428195876847,0.1294782281532196
330.0,23,11,1,0,2,0.5359835994335466,0.186572872949256,0.7918881366419748,0.1311574824119266
340.0,23,11,1,0,2,0.5194678712778964,0.1925046870637041,0.7841047004887154,0.1329102596876916
350.0,23,11,1,0,2,0.5122998616327338,0.1951981788191262,0.7765545660760492,0.1346404796635648
360.0,23,11,1,0,2,0.4969632477688655,0.2012221234647705,0.7689980439596388,0.1364399835500839
370.0,23,11,1,0,2,0.4841139526292024,0.2065629372111756,0.7615010941877852,0.1382853244359021
380.0,23,11,1,0,2,0.4730243481191288,0.2114056081840749,0.7541042545449992,0.1401602035063681
390.0,23,11,1,0,2,0.4594793604665433,0.2176376320765803,0.7467386321930378,0.1420971392206234
400.0,23,11,1,0,2,0.448203045274974,0.2231131650135257,0.7394572764145484,0.1440731398497186
410.0,23,11,1,0,2,0.4373697459917876,0.2286394999115409,0.7322647161663874,0.1460866246130953
420.0,23,11,1,0,2,0.4261651193839848,0.2346508323922626,0.7251461208923781,0.1481462573521457
430.0,23,11,1,0,2,0.4153055310570744,0.2407865836640091,0.7181042893052121,0.1502517193137789
440.0,23,11,1,0,2,0.4037741379571745,0.2476632121758286,0.7111191748308112,0.1524164191551578
450.0,23,11,1,0,2,0.3983510738409418,0.2510348448060897,0.7043198682875532,0.1545602979736563
460.0,23,11,1,0,2,0.3829674032561274,0.2611188293044365,0.6974825817975229,0.1568275007679283
470.0,23,11,1,0,2,0.3774687162675408,0.2649226166046629,0.6908156262656483,0.1590794823478602
480.0,23,11,1,0,2,0.3691059383818145,0.2709249285947736,0.6842501224312842,0.1613620424753483
490.0,23,11,1,0,2,0.3591583879845714,0.2784286914783005,0.6777482877423501,0.1637033754554073
0.0,23,11,0,0,4,0.9977649052878615,0.100224010155127,0.9977649052878615,0.100224010155127
10.0,23,11,0,0,4,0.9919139023817692,0.1008152015612256,0.9948394038348154,0.1005196058581763
20.0,23,11,0,0,4,0.9857110853256436,0.1014496047459622,0.9917966309984249,0.1008296054874383
30.0,23,11,0,0,4,0.9801430103682516,0.1020259277903015,0.9888832258408816,0.1011286860631541
40.0,23,11,0,0,4,0.9745831188481756,0.1026079746981318,0.9860232044423404,0.1014245437901496
50.0,23,11,0,0,4,0.96705765960336,0.1034064504912924,0.9828622803025104,0.1017548615736734
60.0,23,11,0,0,4,0.9613668813110318,0.104018561429564,0.9797915090180134,0.1020782472673721
70.0,23,11,0,0,4,0.9556658196350918,0.104639088209918,0.976775797845148,0.1023983523851903
80.0,23,11,0,0,4,0.9477277392611428,0.1055155355882702,0.9735482357802588,0.1027447060744214
90.0,23,11,0,0,4,0.939428313621862,0.1064477177768477,0.9701362435644192,0.103115007244664
100.0,23,11,0,0,4,0.9282883518551184,0.1077251479027579,0.9663318897726644,0.1035341109408544
110.0,23,11,0,0,4,0.9209670217516106,0.1085815209862862,0.9625514841042432,0.1039547284446404
120.0,23,11,0,0,4,0.9091300573722688,0.1099952632619341,0.958442143586399,0.1044193849690476
130.0,23,11,0,0,4,0.8992434238629999,0.1112045941580719,0.9542136636061562,0.1049040427682636
140.0,23,11,0,0,4,0.8926978303537609,0.1120199877268344,0.9501126080559966,0.105378439098835
150.0,23,11,0,0,4,0.8812281986133241,0.1134779846552314,0.9458073324658296,0.1058846606961098
160.0,23,11,0,0,4,0.8687148861020583,0.1151125663895344,0.9412724826797254,0.1064274786780759
170.0,23,11,0,0,4,0.8595116193757277,0.1163451403631181,0.93673021249617,0.1069784598828005
180.0,23,11,0,0,4,0.8480624387737076,0.1179158460839266,0.9320634875634086,0.1075541117881229
190.0,23,11,0,0,4,0.8332196325598287,0.1200163751456247,0.9271212948132298,0.108177224955998
200.0,23,11,0,0,4,0.8142972184008321,0.1228052825679378,0.9217487197459728,0.1088737991279951
210.0,23,11,0,0,4,0.7997176831806828,0.1250441275754642,0.9162018544475504,0.1096088140574256
220.0,23,11,0,0,4,0.7839832771571167,0.1275537411494546,0.9104532206523142,0.1103890282788181
230.0,23,11,0,0,4,0.7679746484726744,0.1302126316264177,0.9045166134781626,0.1112150117516348
240.0,23,11,0,0,4,0.7537109946529754,0.1326768492292488,0.898484388725155,0.1120734852507393
250.0,23,11,0,0,4,0.7406946916553241,0.1350083929675766,0.8924155542224692,0.1129555970860023
260.0,23,11,0,0,4,0.7290415439515606,0.1371663944663272,0.8863646649531763,0.1138522932852736
270.0,23,11,0,0,4,0.7159699452147725,0.1396706672792006,0.8802791392482333,0.114774378070771
280.0,23,11,0,0,4,0.7020711038456602,0.1424357154884179,0.8741340345791792,0.1157282172920692
290.0,23,11,0,0,4,0.687739157349805,0.1454039644701181,0.8679208720048666,0.1167174088646708
300.0,23,11,0,0,4,0.6798195809029418,0.1470978518553102,0.8618530884209336,0.1176974231546914
310.0,23,11,0,0,4,0.6647690592170902,0.150428180453783,0.8556942125083135,0.118720259320288
320.0,23,11,0,0,4,0.6480772692230626,0.1543025882081676,0.849402789984518,0.1197985117108298
330.0,23,11,0,0,4,0.6431895738420154,0.1554751570406561,0.8433376953920915,0.1208478248087659
340.0,23,11,0,0,4,0.6356874839553669,0.1573100029872874,0.8374048322081851,0.1218896013281522
350.0,23,11,0,0,4,0.6201550649026545,0.161249993202421,0.831370116449698,0.1229829455468819
360.0,23,11,0,0,4,0.6049572685117798,0.1653009314955487,0.8252508502892137,0.1241266748968459
370.0,23,11,0,0,4,0.6013672779313345,0.1662877307591355,0.8193591773324275,0.1252361763669061
380.0,23,11,0,0,4,0.5852142518559703,0.1708775883069427,0.8133554612945696,0.1264064689807532
390.0,23,11,0,0,4,0.5709105532800736,0.1751587870034391,0.8072943385942072,0.1276252769313204
400.0,23,11,0,0,4,0.5599867170022371,0.1785756643216959,0.801262445384647,0.1288679693066954
410.0,23,11,0,0,4,0.5496544376375591,0.1819324891286328,0.7952717785335258,0.1301314102548368
420.0,23,11,0,0,4,0.5381966527637714,0.1858056892150398,0.7892932872365548,0.1314261609283298
430.0,23,11,0,0,4,0.5299865921398597,0.1886840185828903,0.7833999532570846,0.1327274758750244
440.0,23,11,0,0,4,0.5161854707411817,0.1937288158390273,0.7774618536456199,0.1340830612075578
450.0,23,11,0,0,4,0.5096740098105632,0.1962038441731965,0.7716403787796405,0.1354335130111587
460.0,23,11,0,0,4,0.4986861151705967,0.2005269386050397,0.7658328412560438,0.1368184795131561
470.0,23,11,0,0,4,0.4892512486097775,0.2043939597173295,0.7600707247425799,0.1382263020174097
480.0,23,11,0,0,4,0.4846706612212597,0.2063256722575754,0.7544503152829611,0.1396160850835356
490.0,23,11,0,0,4,0.4715028272398412,0.2120878056774251,0.7487913655220987,0.1410655194954133
0.0,23,4,1,0,2,0.9983847980997624,0.1001617814998096,0.9983847980997624,0.1001617814998096
10.0,23,4,1,0,2,0.9916447877260458,0.1008425610034328,0.995014792912904,0.1005021712516212
20.0,23,4,1,0,2,0.980311521792734,0.1020083899627397,0.990113702539514,0.1010042441553274
30.0,23,4,1,0,2,0.9729479857518152,0.1027804173136019,0.9858222733425892,0.101448287444896
40.0,23,4,1,0,2,0.964230730689696,0.1037096172287227,0.9815039648120104,0.1019005534016614
50.0,23,4,1,0,2,0.9536917883586042,0.1048556789737171,0.9768686020697762,0.1023930743303373
60.0,23,4,1,0,2,0.9440495251188252,0.105926646154939,0.9721801625053548,0.1028978703052804
70.0,23,4,1,0,2,0.935664197020046,0.1068759500667925,0.9676156668196912,0.1033951302754694
80.0,23,4,1,0,2,0.9255339693329728,0.1080457371781496,0.9629399226545002,0.1039118643757672
90.0,23,4,1,0,2,0.9154597317643964,0.1092347336865015,0.95819190356549,0.1044441513068406
100.0,23,4,1,0,2,0.9036994892463778,0.1106562537546557,0.9532380477182976,0.1050088878930056
110.0,23,4,1,0,2,0.8947224399497242,0.1117665049348926,0.9483617470709166,0.1055720226464962
120.0,23,4,1,0,2,0.88311084972101,0.1132360677389387,0.94334244727477,0.1061615645766841
130.0,23,4,1,0,2,0.8708038756041068,0.1148364204633638,0.9381611207268656,0.1067811971400184
140.0,23,4,1,0,2,0.8622628701427366,0.115973914061087,0.9331012373545902,0.1073940449347563
150.0,23,4,1,0,2,0.8487426178252981,0.1178213487808899,0.9278288236340094,0.1080457514251396
160.0,23,4,1,0,2,0.8370884905251973,0.1194616831217677,0.9224911569805498,0.1087172768190589
170.0,23,4,1,0,2,0.8251347867405602,0.1211923210691662,0.917082469744995,0.1094103348329538
180.0,23,4,1,0,2,0.8074237034263246,0.1238507113125949,0.9113109557282228,0.1101703546476717
190.0,23,4,1,0,2,0.7922224532842161,0.126227172160348,0.9053565306060224,0.1109731955233055
200.0,23,4,1,0,2,0.7838314213972725,0.1275784528026934,0.8995696206437012,0.1117639220604193
210.0,23,4,1,0,2,0.7684622731614136,0.1301300057172686,0.8936101957581425,0.1125987440448215
220.0,23,4,1,0,2,0.7508714353681389,0.1331785912870314,0.8874041626977076,0.1134935200118741
230.0,23,4,1,0,2,0.742765567300415,0.1346319813443298,0.8813775545561536,0.1143742892340597
240.0,23,4,1,0,2,0.7271059769352353,0.1375315334657291,0.875206691451317,0.1153005790033265
250.0,23,4,1,0,2,0.717068552493796,0.1394566804697033,0.8691244553375662,0.1162296598289564
260.0,23,4,1,0,2,0.6982444467192138,0.1432163198287679,0.862795566129479,0.1172291657548753
270.0,23,4,1,0,2,0.6885669943093636,0.145229151014275,0.8565731171359036,0.1182291652284253
280.0,23,4,1,0,2,0.6758627856570235,0.1479590267761043,0.8503417263952524,0.1192543328680005
290.0,23,4,1,0,2,0.658905325443787,0.1517668717165821,0.8439605130302037,0.1203380841629532
300.0,23,4,1,0,2,0.6501398859112308,0.1538130518785827,0.8377082347360433,0.1214179218311993
310.0,23,4,1,0,2,0.6340548062078492,0.1577150729257607,0.8313440650945372,0.1225522078029043
320.0,23,4,1,0,2,0.6188004927448759,0.1616029740965782,0.824903350780911,0.1237355643572581
330.0,23,4,1,0,2,0.6042212718995723,0.1655022831050228,0.8184127014020481,0.1249639972616041
340.0,23,4,1,0,2,0.5875620961803719,0.1701947771139097,0.811816969824286,0.1262563052573843
350.0,23,4,1,0,2,0.5736617623074376,0.1743187476846467,0.8052015473932623,0.127591373102586
360.0,23,4,1,0,2,0.5505338650220477,0.1816418686541566,0.7983186370589053,0.1290521973066825
370.0,23,4,1,0,2,0.5394166166227821,0.1853854644413572,0.7915054259947967,0.1305346517049634
380.0,23,4,1,0,2,0.5204976534229475,0.1921238248479512,0.7845565087493647,0.1321138612727324
390.0,23,4,1,0,2,0.5082103257613703,0.1967689260350741,0.7776478541746649,0.1337302378917909
400.0,23,4,1,0,2,0.4882332137624413,0.2048201498406391,0.7705889605060741,0.1354641381832262
410.0,23,4,1,0,2,0.475475651101467,0.2103157117895399,0.7635624531392977,0.1372463185071861
420.0,23,4,1,0,2,0.4628004222990456,0.2160758616062442,0.7565679873058035,0.1390795636955362
430.0,23,4,1,0,2,0.4475172087116898,0.2234550941356634,0.749544105974119,0.1409971893873573
440.0,23,4,1,0,2,0.434467049173704,0.2301670522314318,0.7425423936007766,0.1429787418950034
450.0,23,4,1,0,2,0.4262202517880296,0.2346204798586919,0.7356658253004994,0.1449709535898662
460.0,23,4,1,0,2,0.4092529035724968,0.2443476860568824,0.7287208695190526,0.1470853521529942
470.0,23,4,1,0,2,0.4027291305455763,0.2483058522847111,0.7219293749571051,0.149194112572405
480.0,23,4,1,0,2,0.3921615949632738,0.2549969229122629,0.7151994202633535,0.151353353599749
490.0,23,4,1,0,2,0.3779278587874136,0.2646007635447974,0.7084539890338347,0.15361830179865
0.0,23,4,0,0,4,0.9976810892361564,0.1002324300609545,0.9976810892361564,0.1002324300609545
10.0,23,4,0,0,4,0.9915451821274044,0.1008526911355119,0.9946131356817804,0.1005425605982332
