distance_bin,P_t_dB,MCS,numerology,protocol_type,num_lanes,success,PIR,cumulative_PRR,cumulative_PIR
0.0,23,11,1,0,2,0.9979289040743254,0.1002075394266283,0.9979289040743254,0.1002075394266283
10.0,23,11,1,0,2,0.99508435284363,0.1004939930109766,0.9965066284589776,0.1003507662188025
20.0,23,11,1,0,2,0.9895326512900088,0.1010578073089701,0.9941819694026548,0.1005864465821917
30.0,23,11,1,0,2,0.977634205499152,0.1022877467231651,0.990045028426779,0.101011771617435
40.0,23,11,1,0,2,0.9650417791817394,0.1036224567238842,0.9850443785777712,0.1015339086387248
50.0,23,11,1,0,2,0.9477979655435996,0.1055077175045908,0.978836643072076,0.1021962101163692
60.0,23,11,1,0,2,0.9304276151463684,0.1074774634502531,0.9719210676541176,0.1029506748783526
70.0,23,11,1,0,2,0.893924681007024,0.1118662479341637,0.962171519323231,0.104065121510329
80.0,23,11,1,0,2,0.8790185869104559,0.1137632371932845,0.9529323046107004,0.1051426899195463
90.0,23,11,1,0,2,0.853208206597074,0.117204686062314,0.9429598948093378,0.106348889533823
100.0,23,11,1,0,2,0.8307463949408821,0.1203736791504418,0.9327586675485692,0.1076238704080611
110.0,23,11,1,0,2,0.8054639517195893,0.1241520489979836,0.9221507745628208,0.109001218623888
120.0,23,11,1,0,2,0.7853513052908824,0.1273315512768664,0.9116277384649792,0.1104112442125786
130.0,23,11,1,0,2,0.7521191011928613,0.1329576656694397,0.9002342643741138,0.1120217028880687
140.0,23,11,1,0,2,0.721314472633039,0.1386357875712192,0.8883062782580421,0.1137959752002787
150.0,23,11,1,0,2,0.6989325095800423,0.1430753307784833,0.8764704177156671,0.1156259349239165
160.0,23,11,1,0,2,0.662468652181076,0.1509505388228792,0.8638820785665735,0.1177038528003261
170.0,23,11,1,0,2,0.6317496990132134,0.1582905384145002,0.8509858352580535,0.1199586686677802
180.0,23,11,1,0,2,0.6060749898544843,0.1649960841050536,0.8380957907631288,0.1223290589539525
190.0,23,11,1,0,2,0.5747619259193436,0.1739850805880155,0.8249290975209396,0.1249118600356556
200.0,23,11,1,0,2,0.5435293862643734,0.183982692614452,0.8115291112706269,0.1277247568251221
210.0,23,11,1,0,2,0.5174062640447369,0.1932717227237775,0.7981598909421773,0.1307041643659701
220.0,23,11,1,0,2,0.4824598312663581,0.2072711415943593,0.7844338013910547,0.1340331633759001
230.0,23,11,1,0,2,0.4572968344173077,0.2186763442773904,0.7708030944338153,0.1375599625801288
240.0,23,11,1,0,2,0.4353137325206167,0.2297193782997965,0.7573835199572874,0.1412463392089155
250.0,23,11,1,0,2,0.4050574892340927,0.2468785361531916,0.7438325187756261,0.1453091160144646
260.0,23,11,1,0,2,0.3844491062949156,0.2601124527606231,0.7305220220170812,0.1495610914495075
270.0,23,11,1,0,2,0.3692325209847814,0.2708320484156966,0.7176188255516419,0.1538921970554429
280.0,23,11,1,0,2,0.3485528029382929,0.286900576202521,0.7048924109787678,0.1584786928881007
290.0,23,11,1,0,2,0.3338618424446699,0.2995250947750124,0.6925247253609645,0.1631802396176644
300.0,23,11,1,0,2,0.3218935152470512,0.3106617414248021,0.680568879873419,0.1679377074178947
310.0,23,11,1,0,2,0.2982779679677957,0.335257748607154,0.6686222888763682,0.1731664587050591
320.0,23,11,1,0,2,0.2885917206526147,0.3465102871761611,0.657106211051406,0.1784193019920621
330.0,23,11,1,0,2,0.2728897836340193,0.3664483098939057,0.6458057278920711,0.1839495669303517
340.0,23,11,1,0,2,0.2574364734161277,0.3884453460421558,0.6347094634784728,0.1897923034764032
350.0,23,11,1,0,2,0.2443289038805157,0.4092843638708543,0.6238655590451961,0.1958893051540268
360.0,23,11,1,0,2,0.2367739920893761,0.4223436836012485,0.6134036248031469,0.2020096937607085
370.0,23,11,1,0,2,0.2255494695971711,0.4433617165165535,0.6031969365082529,0.2083610627805991
380.0,23,11,1,0,2,0.2130310094420313,0.4694152286182139,0.5931926819680934,0.215054759340538
390.0,23,11,1,0,2,0.2082086963689002,0.4802873354666315,0.5835680823281135,0.2216855737436903
400.0,23,11,1,0,2,0.1991527880571765,0.5021270401260469,0.5741920995410175,0.2285256095091137
410.0,23,11,1,0,2,0.1920027588827932,0.5208258494923207,0.5650923533348693,0.2354851390325233
420.0,23,11,1,0,2,0.1823513969104927,0.5483917408600114,0.5561914008598838,0.2427620367494417
430.0,23,11,1,0,2,0.1725932379119477,0.5793969752802088,0.5474732607928853,0.2504128308069591
440.0,23,11,1,0,2,0.1637183682982152,0.6108050125313284,0.5389453742930037,0.2584215459563896
450.0,23,11,1,0,2,0.1582413801577744,0.6319459543407362,0.5306692005074553,0.2665416417908319
460.0,23,11,1,0,2,0.1517934654236799,0.6587898874360892,0.5226080146546089,0.2748873491449863
470.0,23,11,1,0,2,0.1462682862506011,0.6836752009842394,0.5147676036461921,0.2834037627249707
480.0,23,11,1,0,2,0.1373653637592667,0.7279855508208778,0.5070655171178875,0.2924768604412137
490.0,23,11,1,0,2,0.1340106652710982,0.7462092647454889,0.4996044200809517,0.3015515085272992
0.0,23,11,0,0,4,0.997836771699884,0.1002167918001689,0.997836771699884,0.1002167918001689
10.0,23,11,0,0,4,0.9942150963957384,0.1005818563432835,0.9960259340478111,0.1003993240717262
20.0,23,11,0,0,4,0.9893836746315472,0.1010730241099244,0.993811847575723,0.1006238907511256
30.0,23,11,0,0,4,0.9809423248739212,0.1019427926232593,0.9905944669002726,0.100953616219159
40.0,23,11,0,0,4,0.970603082868408,0.1030287269482717,0.9865961900938996,0.1013686383649816
